year,month,poly_id,order_1,order_2,order_3
2000,3,IE02,22.3669929863895,66.9979377977712,319.744346271875
2000,4,IE02,94.5289741877019,701.994117956824,6840.55817385816
2000,5,IE02,74.9066924932943,869.730889181946,20053.909674163
2000,6,IE02,48.4394602210074,206.330560828621,1164.87378150942
2000,7,IE02,73.2722867477282,635.552020825203,8990.82788402912
2000,8,IE02,69.9471545711417,367.317893674092,2802.08582830583
2000,9,IE02,104.877538982506,961.586499467737,12699.8444644289
2000,10,IE02,124.696401970018,1060.43655160014,11570.9018454271
2000,11,IE02,164.497032013019,3041.16967719105,79806.9203986181
2000,12,IE02,135.122167707736,1521.29122070111,23409.9193957088
2000,1,IE01,62.6001385432933,470.101939572766,5112.93476990799
2000,2,IE01,93.5245472636785,589.329005506033,5322.45487745033
