year,month,poly_id,order_1,order_2,order_3,order_4,order_5
2005,1,ITC3,121.310006855544,756.828423333359,5010.95375388472,35866.0164509808,267177.130899942
2005,2,ITC3,64.7203107958281,405.247183260776,2380.4030941355,17491.0779016158,130399.460522804
2005,3,ITC3,208.236732905725,2282.86274689408,22249.6277055888,242540.00763339,2550021.05352367
2005,4,ITC3,314.584559672576,3481.69744600381,40813.1798101284,508257.090690213,6726274.5174088
2005,5,ITC3,502.895667936547,8389.4486535285,144140.639129677,2552068.60713897,46539102.091922
2005,6,ITC3,598.908595039203,12253.4131393635,256027.90311547,5445481.66089825,117558959.342439
2005,7,ITC3,660.289750006191,14170.7357534241,306325.061084088,6667684.68599767,146103101.69629
2005,8,ITC3,631.319518285267,12926.0999284305,266025.009579301,5502169.15553679,114349350.49804
2005,9,ITC3,538.889225109095,9864.72182512349,184079.702669819,3502763.58304943,67983988.5963832
2005,10,ITC3,406.28044973313,5422.01825980141,73531.8226529315,1011624.97989369,14098606.7188638
2005,11,ITC3,224.0011740674,2225.33200758304,24125.7780959078,274666.037785139,3230059.74226579
2005,12,ITC3,93.0676392507975,425.530774851737,2086.0121242367,12429.9972137354,80754.1567279016
2005,1,DE13,22.3350429978251,711.317806686658,-799.316481681448,39600.5234824816,-181475.305943042
2005,2,DE13,-36.7852602016057,397.982335868899,-1271.8241174434,19338.5461922623,-104495.618382365
2005,3,DE13,147.01524516013,1945.32132356289,16990.6497049224,214253.838472039,2108459.99171653
2005,4,DE13,282.164427288058,2985.08436602833,34737.4024572678,441407.016783212,6083518.04546418
2005,5,DE13,418.32579021548,6396.54693307048,108732.599779235,2006344.74430554,39311801.1910031
2005,6,DE13,547.212913689693,10638.6769437003,217546.248982351,4625513.18633845,101340029.504278
2005,7,DE13,566.280471977627,10727.889249458,210307.40776583,4255673.4142232,88651726.3149236
2005,8,DE13,498.421327902696,8181.9147381489,137010.048404918,2338702.32127078,40668936.52364
2005,9,DE13,460.212647011255,7514.09289829585,129002.615218764,2304561.57755358,42485327.51722
2005,10,DE13,344.967701865474,4006.05480434999,48109.4341312874,594069.324361035,7515202.72551248
2005,11,DE13,108.762726839581,1106.2646812034,9949.73099486086,108530.752455953,1204709.42887046
2005,12,DE13,-16.6486921770497,377.487947643253,-915.597564203068,14385.7630193202,-62122.4631549108
2005,1,CH06,-21.1683820896002,719.194737501549,-3958.89781882246,52083.1807424592,-496567.771275856
2005,2,CH06,-74.7545131022228,579.260419583665,-3080.75562136876,32293.2646304033,-253578.673134836
2005,3,CH06,119.354924046975,1721.81926229132,11961.0284876066,157851.118370147,1270125.36700789
2005,4,CH06,230.568097470485,2116.25255578402,21704.9289340463,244740.501516259,2992398.12024075
2005,5,CH06,379.695707703461,5267.20915597568,80939.4903366779,1346492.79289781,23766663.6723884
2005,6,CH06,503.470285803389,9002.22163575343,169105.824716578,3299956.35537699,66321017.0154251
2005,7,CH06,521.15544961349,9134.87878371842,166323.187147069,3134618.54836352,60945990.7324092
2005,8,CH06,464.456240916602,7120.54867823957,111529.416757504,1782720.5674469,29055584.8506047
2005,9,CH06,431.4447464495,6632.42589173673,107156.202644003,1797221.06841422,31023240.0808093
2005,10,CH06,333.138528942334,3705.18944189038,42313.4809446287,493492.143370412,5854656.83156098
2005,11,CH06,95.8005076183711,1123.15891280356,8749.45566686481,97779.6379413823,950048.825752881
2005,12,CH06,-36.6343656346682,358.355442495098,-1712.46945535773,17107.1212735894,-148970.404978144
2005,1,DE71,80.0286668829867,662.387306926055,3614.02648448193,26951.5421160279,179558.669232632
2005,2,DE71,-2.60483696090924,273.354084545701,506.204793542885,9225.52712490896,35552.2568077126
2005,3,DE71,177.570552736746,2033.21214792093,21318.2502199333,248504.704660235,2891337.48337823
2005,4,DE71,310.644879052631,3452.7339881413,40600.3677789112,501043.775965545,6460428.69047521
2005,5,DE71,420.70607499067,6520.60303339277,112863.528388901,2125849.88361083,42591296.5627515
2005,6,DE71,538.920604362486,10291.310329719,206560.121054026,4310684.90217929,92698754.3343986
2005,7,DE71,596.284490868866,11801.7685594606,239794.312925337,4988776.26853484,105987152.768735
2005,8,DE71,525.171696530453,9075.08188202793,159934.962673623,2873804.01330204,52626400.7100344
2005,9,DE71,493.892944633951,8596.70664877465,156935.085788458,2979230.10154653,58358975.3925537
2005,10,DE71,364.703485061557,4468.81440193103,56718.2629673731,742302.267573799,9979964.61747218
2005,11,DE71,141.499259108579,1155.81972821852,10870.5759763676,112337.356835432,1242444.3425017
2005,12,DE71,41.742532776457,308.075117009956,776.909434536078,6494.24221591099,22364.1024619579
2005,1,DE12,61.5749859685864,736.536818847166,2397.05968419392,34616.7215832695,79634.4010888802
2005,2,DE12,-19.0952302136375,382.053890329548,-673.667427456596,18528.3168429803,-63992.5729322122
2005,3,DE12,157.76646953375,2173.81465025189,20166.7805340164,264204.993474922,2806163.78117134
2005,4,DE12,309.651293173372,3469.04720540212,41514.4876387175,527010.702134808,7072195.84565222
2005,5,DE12,432.00187380194,6823.30162989524,119649.080405299,2273620.09896276,45816586.7742485
2005,6,DE12,553.612186772062,10905.2990290785,226332.185041939,4890349.40259002,108952358.400798
2005,7,DE12,593.578663265568,11734.5635555961,239070.107990584,5008523.44956357,107646279.799631
2005,8,DE12,520.246392954899,8913.13737094171,155816.340356516,2777828.99182846,50467502.9938376
2005,9,DE12,487.731492281728,8411.93245395759,152421.285405486,2874551.84924535,55971094.198708
2005,10,DE12,366.635089850727,4521.00846413236,57706.9644319925,758514.595914947,10227169.5082777
2005,11,DE12,129.509228689911,1149.47639259076,11204.070354758,121441.388114786,1395498.44765768
2005,12,DE12,23.2584257526626,300.540157570144,283.157334213015,8217.03210113781,4400.66926446352
2005,1,DE72,64.8740403112369,602.06891112665,2559.44542120193,21658.917754254,115307.536100323
2005,2,DE72,-20.8047810890657,305.740511876334,-258.518389868931,9881.59814796315,-14313.1219713394
2005,3,DE72,154.507684304334,1734.60010298401,16836.1053019098,185705.929005399,2020947.32962272
2005,4,DE72,290.864972707754,3044.22318026232,33712.1779395496,390831.611741904,4714003.19520096
2005,5,DE72,392.54851865503,5810.40293687081,97325.6672635201,1783274.38716197,34793132.6674854
2005,6,DE72,498.221743637173,8828.88406427088,164730.004838755,3196671.3652064,63894973.6467742
2005,7,DE72,560.059692620373,10436.8104576402,200027.920835412,3929656.69371642,78867438.9598276
2005,8,DE72,492.889415752099,8007.94667194173,132942.026430754,2254661.41340521,39047369.8309168
2005,9,DE72,458.878724349897,7436.26302843361,126501.910576546,2238395.52720317,40866866.0995859
2005,10,DE72,347.689414483475,4050.75730918898,48628.8930829004,598115.168210103,7506673.29183711
2005,11,DE72,134.332099137142,1095.0041535308,9900.08044880213,97705.6772208788,1028785.8399318
2005,12,DE72,34.0501366835715,293.898956609309,451.427122836003,5385.3519544325,8607.13310557028
2005,1,DEA4,102.893036373593,800.69714396337,5572.55791506633,46687.8729339074,401009.464662117
2005,2,DEA4,3.90304785325739,294.793515267773,26.9095971840541,9948.90367457959,-18054.8232328318
2005,3,DEA4,147.793307231021,1768.16633645395,16659.8603724394,191104.209720477,2108637.62676557
2005,4,DEA4,298.342701443944,3166.82627921087,35242.2625493245,406607.839200146,4827031.96576011
2005,5,DEA4,390.611933021209,5793.32900388021,97785.9062153057,1812212.39384187,35856885.4630137
2005,6,DEA4,478.196244944305,8150.23114304225,146967.536411595,2774511.82665713,54350261.9872899
2005,7,DEA4,557.795763544202,10315.202607726,195674.683475296,3798184.3643384,75234411.7572515
2005,8,DEA4,486.471301357812,7798.67485639026,127881.334523585,2147189.3454465,36939133.8901619
2005,9,DEA4,463.508077044089,7569.10213924263,129819.112152445,2321553.20169779,42975438.899634
2005,10,DEA4,371.956218319177,4616.94808310407,58905.9952937702,768385.695668684,10204109.7330677
2005,11,DEA4,161.62636107562,1484.51091866038,15527.9064128024,175739.145782567,2105363.4874635
2005,12,DEA4,68.3246572256784,418.538374828403,1825.62533981268,10694.0447347449,57209.4802670582
2005,1,DK03,115.914901497705,741.958771509065,4821.6351899921,34579.1066113312,260024.788454842
2005,2,DK03,9.59470747512911,175.572835299093,177.897792649723,3078.81895127098,1874.14073635587
2005,3,DK03,56.987690605056,541.565765051507,1917.52346452678,20014.0975881034,85671.38053294
2005,4,DK03,230.786822296342,1914.41750427466,16980.3747902546,159572.598298462,1573590.51323039
2005,5,DK03,335.993803846773,3959.93121668491,50405.2347985653,686407.765852573,9901224.69987503
2005,6,DK03,421.814097445988,6243.24198039065,96883.5903578423,1568270.84525986,26339576.357127
2005,7,DK03,534.001457773095,9356.92540576662,166778.485677809,3023091.78001219,55698568.4081721
2005,8,DK03,474.422332273122,7373.31557137826,116472.03166066,1871188.5552522,30584798.5579434
2005,9,DK03,434.478667898736,6464.2851606245,98488.2639229939,1532898.29178612,24327833.9849947
2005,10,DK03,347.367320237572,4058.73479205639,48905.6504303384,602884.389169692,7561531.53306802
2005,11,DK03,188.596637050445,1799.59987522985,18758.4721963157,205352.105925924,2321877.77025236
2005,12,DK03,82.4659688563453,480.158276692349,2656.9419871941,16651.3168159716,108764.343942934
2005,1,DK04,114.873698930482,723.876617502425,4670.10760104734,33271.8361044661,248485.268459027
2005,2,DK04,5.1903139194035,165.229509491635,151.760796922131,2655.02784433858,2765.34043474464
2005,3,DK04,48.1165840258501,482.467403109853,1569.47293324963,16068.7704001053,64006.4798299595
2005,4,DK04,223.208008709471,1782.34098567719,15164.0356938718,136324.914926004,1283786.38691387
2005,5,DK04,324.037505877357,3640.33089769459,43679.5815189856,555299.62238431,7418837.11622093
2005,6,DK04,408.733908903197,5817.44244325319,86164.9579415417,1322233.18618075,20928749.1094638
2005,7,DK04,521.445007920271,8897.75898851722,154042.766008726,2705671.20719142,48204493.3492618
